Date,Product,Category,Quantity,Unit Price,city,store
2024-07-18,Printer,Electronics,43,1200,Lucknow,StoreA
2024-01-01,Desk,Furniture,54,500,Ahmedabad,StoreB
2024-07-21,Pen,Stationery,2,15,Mumbai,StoreB
2024-11-02,Printer,Electronics,27,1200,Ahmedabad,StoreC
2024-01-31,Pencil,Stationery,56,5,Hyderabad,StoreB
2024-05-11,Keyboard,Electronics,58,80,Kolkata,StoreD
2025-01-20,Pencil,Stationery,19,5,Jaipur,StoreA
2025-04-18,Notebook,Stationery,38,20,Delhi,StoreB
2025-04-19,Pencil,Stationery,48,5,Kolkata,StoreC
2024-01-28,Monitor,Electronics,35,800,Mumbai,StoreB
2024-06-21,Notebook,Stationery,36,20,Pune,StoreE
2024-09-19,Desk,Furniture,33,500,Chennai,StoreB
2025-02-18,Table,Furniture,28,300,Jaipur,StoreD
2024-11-05,Monitor,Electronics,10,800,Jaipur,StoreA
2024-08-09,Pencil,Stationery,39,5,Pune,StoreE
2024-06-29,Desk,Furniture,8,500,Jaipur,StoreC
2024-02-12,Monitor,Electronics,25,800,Lucknow,StoreD
2024-06-23,Notebook,Stationery,52,20,Lucknow,StoreB
2024-03-31,Desk,Furniture,52,500,Delhi,StoreD
2024-04-28,Notebook,Stationery,48,20,Kolkata,StoreA
2024-10-14,Pen,Stationery,11,15,Kolkata,StoreB
2024-12-02,Desk,Furniture,36,500,Hyderabad,StoreB
2024-04-20,Pen,Stationery,53,15,Mumbai,StoreE
2025-02-07,Pen,Stationery,13,15,Kolkata,StoreB
2025-01-13,Chair,Furniture,31,150,Kolkata,StoreD
2024-03-15,Chair,Furniture,43,150,Mumbai,StoreC
2024-01-15,Mouse,Electronics,53,400,Delhi,StoreE
2025-05-11,Laptop,Electronics,49,450,Delhi,StoreE
2024-09-25,Printer,Electronics,1,1200,Kolkata,StoreC
2024-11-06,Printer,Electronics,9,1200,Mumbai,StoreD
2024-11-28,Laptop,Electronics,57,450,Pune,StoreA
2025-01-15,Pencil,Stationery,56,5,Delhi,StoreE
2025-03-07,Laptop,Electronics,40,450,Lucknow,StoreA
2024-03-14,Table,Furniture,32,300,Bangalore,StoreE
2025-04-21,Printer,Electronics,54,1200,Kolkata,StoreD
2024-02-29,Desk,Furniture,10,500,Jaipur,StoreD
2024-03-06,Monitor,Electronics,8,800,Jaipur,StoreE
2024-02-26,Mouse,Electronics,17,400,Jaipur,StoreE
2024-11-01,Table,Furniture,55,300,Hyderabad,StoreE
2025-03-19,Chair,Furniture,11,150,Lucknow,StoreA
2025-02-23,Keyboard,Electronics,39,80,Pune,StoreB
2025-03-23,Pencil,Stationery,45,5,Mumbai,StoreE
2025-01-25,Printer,Electronics,20,1200,Bangalore,StoreD
2024-02-23,Pencil,Stationery,58,5,Bangalore,StoreD
2024-01-09,Pen,Stationery,58,15,Bangalore,StoreA
2024-04-30,Keyboard,Electronics,56,80,Kolkata,StoreA
2024-06-21,Pen,Stationery,19,15,Mumbai,StoreB
2025-04-24,Pencil,Stationery,13,5,Chennai,StoreD
2024-04-26,Keyboard,Electronics,26,80,Ahmedabad,StoreC
2024-06-03,Printer,Electronics,40,1200,Pune,StoreB
2024-11-21,Laptop,Electronics,8,450,Jaipur,StoreD
2025-02-13,Mouse,Electronics,48,400,Lucknow,StoreE
2025-04-13,Monitor,Electronics,36,800,Delhi,StoreA
2024-04-16,Notebook,Stationery,6,20,Mumbai,StoreC
2024-07-07,Laptop,Electronics,19,450,Chennai,StoreD
2024-10-05,Monitor,Electronics,9,800,Delhi,StoreA
2024-06-05,Keyboard,Electronics,56,80,Jaipur,StoreC
2024-08-02,Pen,Stationery,33,15,Chennai,StoreB
2025-05-09,Printer,Electronics,34,1200,Hyderabad,StoreC
2024-11-29,Laptop,Electronics,1,450,Jaipur,StoreB
2024-08-04,Desk,Furniture,25,500,Lucknow,StoreC
2025-05-01,Printer,Electronics,55,1200,Hyderabad,StoreB
2025-03-07,Mouse,Electronics,39,400,Bangalore,StoreA
2024-04-08,Chair,Furniture,33,150,Pune,StoreA
2024-05-27,Keyboard,Electronics,24,80,Mumbai,StoreD
2024-10-20,Desk,Furniture,38,500,Delhi,StoreB
2024-02-20,Chair,Furniture,40,150,Kolkata,StoreD
2024-07-03,Laptop,Electronics,6,450,Delhi,StoreE
2025-01-10,Pencil,Stationery,43,5,Mumbai,StoreA
2024-12-29,Table,Furniture,20,300,Pune,StoreB
2025-03-17,Laptop,Electronics,35,450,Bangalore,StoreE
2024-08-02,Pencil,Stationery,48,5,Kolkata,StoreB
2024-05-14,Table,Furniture,28,300,Pune,StoreD
2024-12-10,Printer,Electronics,6,1200,Lucknow,StoreB
2024-09-01,Printer,Electronics,9,1200,Kolkata,StoreD
2024-04-12,Pencil,Stationery,57,5,Ahmedabad,StoreC
2024-10-25,Printer,Electronics,38,1200,Chennai,StoreC
2024-02-21,Printer,Electronics,21,1200,Hyderabad,StoreC
2024-10-05,Pen,Stationery,10,15,Lucknow,StoreA
2024-08-05,Printer,Electronics,36,1200,Mumbai,StoreB
2025-04-03,Mouse,Electronics,41,400,Bangalore,StoreC
2024-03-11,Pen,Stationery,45,15,Mumbai,StoreB
2025-05-10,Pen,Stationery,43,15,Ahmedabad,StoreB
2024-03-09,Chair,Furniture,5,150,Chennai,StoreB
2024-07-17,Table,Furniture,18,300,Mumbai,StoreD
2024-01-22,Table,Furniture,23,300,Kolkata,StoreC
2024-10-08,Pen,Stationery,22,15,Delhi,StoreD
2024-06-05,Keyboard,Electronics,31,80,Pune,StoreD
2025-04-23,Chair,Furniture,50,150,Chennai,StoreB
2024-02-04,Desk,Furniture,37,500,Lucknow,StoreC
2024-04-05,Keyboard,Electronics,56,80,Delhi,StoreC
2025-03-15,Mouse,Electronics,46,400,Hyderabad,StoreE
2025-01-15,Keyboard,Electronics,13,80,Kolkata,StoreB
2024-06-03,Table,Furniture,2,300,Pune,StoreE
2024-07-06,Mouse,Electronics,27,400,Kolkata,StoreE
2025-01-12,Mouse,Electronics,23,400,Hyderabad,StoreC
2024-06-24,Mouse,Electronics,56,400,Mumbai,StoreC
2024-02-07,Keyboard,Electronics,58,80,Kolkata,StoreB
2024-07-08,Monitor,Electronics,11,800,Lucknow,StoreC
2025-01-31,Mouse,Electronics,26,400,Chennai,StoreC
2024-09-08,Keyboard,Electronics,2,80,Hyderabad,StoreB
2025-04-05,Pen,Stationery,41,15,Hyderabad,StoreE
2025-02-09,Pen,Stationery,53,15,Lucknow,StoreB
2024-09-16,Printer,Electronics,26,1200,Chennai,StoreE
2025-05-13,Table,Furniture,44,300,Hyderabad,StoreC
2025-05-14,Pen,Stationery,11,15,Kolkata,StoreB
2024-04-09,Pen,Stationery,41,15,Hyderabad,StoreA
2025-04-14,Pencil,Stationery,30,5,Bangalore,StoreE
2024-03-31,Chair,Furniture,5,150,Hyderabad,StoreA
2025-01-22,Printer,Electronics,49,1200,Mumbai,StoreB
2024-02-02,Pencil,Stationery,45,5,Ahmedabad,StoreC
